1,it becomes uncalm on the sea...,,Story1
2,it's familiar taste on the sea...,,Story1
3,uncalm on the sea again...,,Story1
4,big crisis...,,Story1
5,small crisis...,,Story1
10,"nothing strange, for now...",,Story2
11,weird creature almost here...,,Story2
12,strange shadow on the sea...,,Story2
13,something is going on...,,Story2
14,a strange man is approaching...,,Story2
15,a strange sea monster is approaching...,,Story2
21,it becomes uncalm on the sea...,,Story2
22,it's familiar taste on the sea...,,Story2
23,uncalm on the sea again...,,Story2
24,big crisis...,,Story2
101,an injured man floating with wood is approaching...,,Story3
102,"a strange shadow there, it seems familiar...",,Story3
103,"strange shadows are approaching, seem to be finding someone...",,Story3
201,an injured man floating with wood is approaching...,,Story3
202,"several Raven there, they seem to be finding someone...",,Story5
203,several Raven there...,,Story5
204,"several Raven there, a familiar survivor with them...",,Story5
205,"several Raven there, familiar...",,Story5
301,an injured man floating with wood is approaching...,,Story4
302,"a shark appears, aggressively...",,Story4
303,"a shark appears, wandering...",,Story4
400,"many seagulls are passing by, but what does it mean...",,Story6
401,storm is coming...,,Story6
402,It's raining...,,Rain
403,It's raining heavily...,,Heavy Rain
404,storm is coming...,,Disaster
408,Wind is gentle...,,Gentle Wind
409,Wind is high...,,High Wind
410,Wind is fierce...,,Fierce Wind
411,storm is coming...,,Disaster
412,No wind at all..,,Calm
413,Flow direction changes...,,Flow changes
414,Rapd flow...,,Rapid flow
415,It's calm again...as usual,,Calm
450,Tornado is coming...,,Disaster
451,Unexplainable desiccation...,,Disaster
500,a strange man comes approaching you...,,Story7
501,"several strange but powerful men, with something you are familiar with...",,Story7
502,"several strange men, with something you are familiar with...",,Story7
601,a strange shark and a strange man are passing by...,,Story8
602,weird voice are hitting walls under water...,,Story8
603,"a strange shark is coming, aggressively...",,Story8
604,something strange is going on with walls under water...,,Story8
605,"a strange man is coming, along with several strange sharks, aggressively...",,Story8
700,"a strange man is approaching, seems with special purpose...",,Story9
701,"a strange youth is approaching, so familiar...",,Story9
800,"several seagulls appear, aggressively...",,Story10
801,"a strange seagull appears, aggressively...",,Story10
802,"several seagulls appear, aggressively, seems to be revenging...",,Story10
803,"a strange seagull appears, aggressively, with a item in its mouth...",,Story10
804,"more seagulls appear, aggressively, seems to be revenging...",,Story10
901,a strange creature appears...,,Story11
902,"a big monster appears, with familiar hands...",,Story11
1000,a floating chest is approaching...,,Story12
1100,a shark rider is passing by...,,Story13
1200,a strange baby is approaching...,,Story14
1300,"a ship appears, several survivors on it...",,Story15
