1,Rope,
2,DryFish,
3,FishSoup,
4,Arrow,
5,Bow,
6,Spear,
7,WoodArmor,
8,Barrel,
9,Cloth,
10,kebab,
11,WoodHat,
12,BoneArmor,
13,BoneHat,
14,FlaxArmor,
15,FlaxHat,
16,ClothArmor,
17,ClothHat,
18,Soil,
19,Pulp,
20,Paper,
21,Wood Tar,
22,Charcoal,
23,FishingRod,
24,FishBoneSword,
25,BoneSpear,
26,ThrowingSpear,
27,BoneThrowingSpear,
28,BoneArrow,
29,WoodPlank,
30,WoodPart,
31,Lemonade,
32,GreenDye,
33,BlueDye,
34,RedDye,
35,YellowDye,
36,WhiteDye,
37,BlackDye,
39,Club,
40,Flute,
41,BlowGun,
42,BlowGunArrow,
43,Incense,
44,Cure Mix,
45,Energy Mix,
46,Chill Mix,
47,Bandage,
48,Disinfected Bandage,
49,CoconutShell,
50,RoastFish,
51,MashPotato,
52,VegetableSoup,
53,Broth,
54,Broth,
55,Broth,
56,HerbSteak,
57,HerbSteak,
58,HerbSteak,
59,CoCoNutHelmet,
60,CoCoNutHelmet,
61,Ink,
62,Pearl,
63,ScallopSoup,
64,Chemical,
65,Hoe,
66,Salad,
67,FruitMix,
68,LeakBarrel,
69,Sand,
70,SandGlass,
71,Telescope,
72,Cook,
