1,Touw,
2,Droge Vis,
3,Vissesoep,
4,Pijl,
5,Boog,
6,Speer,
7,Houten Schild,
8,Vat,
9,Doek,
10,Brochette,
11,Houten Hoed,
12,Botten Hoed,
13,BoneHat,
14,Linnen Schild,
15,Linnen Hoed,
16,Kleed,
17,Doek Hoed,
18,Bodem,
19,Pap,
20,Papier,
21,Houtteer,
22,Kool,
23,Hengel,
24,Visgraatzwaard,
25,Botspeer,
26,Botpijl,
27,Botspeer,
28,BoneArrow,
29,Houten Plank,
30,Houten Stuk,
31,Liemonade,
32,Groen Kleurstof,
33,Blauw Kleurstof,
34,Rood Kleurstof,
35,Geel Kleurstof,
36,Wit Kleurstof,
37,Zwart Kleurstof,
39,Club,
40,Fluit,
41,Blaaspijp,
42,Blaaspijl,
43,Wierook,
44,Genezende Mix,
45,Energie Mix,
46,Chill Mix,
47,Verband,
48,Ontsmettingsmiddel Verban,
49,Kokosnootschil,
50,Geroosterde Vis,
51,Aardappelpuree,
52,Groentesoep,
53,Bouillon,
54,Bouillon,
55,Bouillon,
56,Kruidensteak,
57,Kruidensteak,
58,Kruidensteak,
59,Kokosnoot Helm,
60,Kokosnoot Helm,
61,Ink,
62,Parel,
63,Sint-Jakobsschelpensoep,
64,Gemische Stof,
65,Schoffel,
66,Salade,
67,Fruitmix,
68,Lekkende Vat,
69,Zand,
70,Zandloper,
71,Telescoop,
72,Kok,
73,Bot,
74,DryFish,
