0,空閒
1,移動
2,空閒
3,進食
4,進食
5,睡覺
6,排洩
7,清潔
8,談話
9,祈禱
10,找躲藏處
11,喪失心智
12,建造
13,工作
14,收穫
15,清掃
16,防水
17,釣魚
18,研究
19,攻擊
20,逃跑
21,轉移
22,幫忙
23,溺水
24,失去意識
25,丟棄
26,搬東西
27,搬人
28,上岸
29,墜落
30,修理
31,拆除
32,整理
33,補充
34,補充海水
35,排水
36,拾取
37,辦事
38,撿起衣物
39,攻擊（遠）
40,扔東西
41,回船上
42,攻擊木筏
43,攻擊人
44,吃東西
45,排洩
46,徘徊
47,侵略
48,偷東西
49,偷孩子
50,離開
51,路過
52,冥想
53,被拾取
54,拿取
55,看天空
56,跳舞
57,看海
58,打水漂
59,吹笛子
60,靠近
61,交易
62,欣賞塗鴉
63,思考
64,澆水
65,除蟲
66,鬆土
67,補充營養
68,染色
69,清理
70,整理
71,清理
72,Hobby
73,Wander
74,Go Home
75,Show Up
76,Dive
77,EatField
78,Heal
79,WaitForHeal
80,JobDeliver
81,SwitchDoor
82,EquipBodyPart
