1,繩索,
2,乾魚,
3,魚湯,
4,箭頭,
5,弓,
6,長矛槍,
7,木甲,
8,桶,
9,布,
10,肉串,
11,木製頭盔,
12,骨製鎧甲,
13,骨製頭盔,
14,亞麻盔甲,
15,亞麻頭盔,
16,布甲,
17,布製頭盔,
18,土,
19,紙漿,
20,紙,
21,木焦油,
22,木炭,
23,釣魚竿,
24,魚骨劍,
25,骨製長矛槍,
26,標槍,
27,骨製標槍,
28,骨製箭頭,
29,木板,
30,木頭部分,
31,檸檬水,
32,綠色染料,
33,藍色染料,
34,紅色染料,
35,黃色染料,
36,白色染料,
37,黑色染料,
39,錘,
40,笛子,
41,吹箭,
42,吹箭箭頭,
43,香,
44,治療混合,
45,能量組合,
46,鎮靜劑混合,
47,繃帶,
48,消毒繃帶,
49,椰子殼,
50,烤魚,
51,土豆泥,
52,蔬菜湯,
53,羹湯,
54,羹湯,
55,羹湯,
56,香草牛排,
57,香草牛排,
58,香草牛排,
59,椰子頭盔,
60,椰子頭盔,
61,墨,
62,珍珠,
63,扇貝湯,
64,化學物品,
65,鋤頭,
66,沙拉,
67,水果混合,
68,洩漏桶,
69,沙子,
70,沙漏,
71,望遠鏡,
72,烹飪,
73,骨頭,
74,DryFish,
