1,Cuerda,
2,Pescado seco,
3,Sopa de pescado,
4,Flecha,
5,Arco,
6,Lanza,
7,Armadura de madera,
8,Barril,
9,Tela,
10,Brocheta,
11,Casco de madera,
12,Armadura de hueso,
13,Casco de hueso,
14,Arnadura de lino,
15,Casco de lino,
16,Armadura de tela,
17,Casco de tela,
18,Tierra,
19,Pulpa,
20,Papel,
21,Alquitrán de madera,
22,Carbón,
23,Caña de Pescar,
24,Espada de hueso de pescado,
25,Lanza de hueso,
26,Jabalina,
27,Jabalina de hueso,
28,Flecha de hueso,
29,Plancha de madera,
30,Parte de madera,
31,Limonada,
32,Tinte verde,
33,Tinte azul,
34,Tinte rojo,
35,Tinte amarillo,
36,Tinte blanco,
37,Tine negro,
39,Maza,
40,Flauta,
41,Cerbatana,
42,Flecha de Cerbatana,
43,Incienso,
44,Mezcla de cura,
45,Mezcla de energia,
46,Mezclar tranquilizante,
47,Ventaje,
48,Ventaje desinfectado,
49,Cascara de coco,
50,Pescado asado,
51,Puré de papa,
52,Sopa vegetal,
53,Caldo,
54,Caldo,
55,Caldo,
56,Filete de hierbas,
57,Filete de hierbas,
58,Filete de hierbas,
59,Casco de coco,
60,Casco de coco,
61,Tinta,
62,Perla,
63,Sopa de viera,
64,Quimico,
65,Azada,
66,Ensalada,
67,Mezcla de Frutas,
68,Barril de fuga,
69,Arena,
70,Reloj de arena,
71,Telescopio,
72,Cocinado,
73,Hueso,
74,DryFish,
